_id,Fecha y hora,Departamento,Localidad,Jurisdiccion,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
92,2018-02-25T09:00:00,MALDONADO,N/C,NACIONAL,DESPISTE,CAMION,CONDUCTOR,53,M,0,"","RUTA 12 KM 365,000",675447.71882098,6174276.50046831
93,2018-02-25T09:48:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,CAÍDA,MOTO,PASAJERO,31,F,0,"",BOULEVARD APARICIO SARAVIA ESQ. ARQUITECTO BERNARDO PONCINI,574308.0853,6144949.9063
94,2018-02-25T19:45:00,RIO NEGRO,N/C,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,43,M,1,CAMIONETA,"RUTA 3 KM 306,000",442751.02,6378531.7
95,2018-02-25T19:45:00,CANELONES,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,33,M,0,"","RUTA 5 KM 57,000",567604.62,6190015.63
96,2018-02-25T19:45:00,CANELONES,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,24,F,0,"","RUTA 5 KM 57,000",567604.62,6190015.63
97,2018-02-27T12:55:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,55,F,0,CAMION,PALMAR ESQ. VEINTE DE SETIEMBRE,576483.4638,6137631.4048
98,2018-02-28T00:02:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,32,M,0,OMNIBUS,AVENIDA GENERAL FLORES ESQ. CHIMBORAZO,576883.885,6143207.3989
99,2018-02-28T12:01:00,CANELONES,VILLA ARGENTINA,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,BICICLETA,CONDUCTOR,57,F,0,CAMION,RUTA INTERBALNEARIA KM 44,611650.79,6152111.22
100,2018-02-28T18:40:00,FLORES,N/C,NACIONAL,DESPISTE,MOTO,CONDUCTOR,42,M,0,"","RUTA 3 KM 182,500",511074.23,6285006.15
101,2018-01-03T17:46:00,CANELONES,N/C,NACIONAL,DESPISTE,CUATRICICLO,CONDUCTOR,45,M,3,"","RUTA 33 KM 24,500",581195.98,6157363.99
102,2018-03-03T19:50:00,PAYSANDU,PAYSANDU,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,62,F,1,MOTO,SALADERO SANTA MARIA ESQ. OSTIA DE GOYA,397886.67254209,6428927.61794402
103,2018-03-03T21:34:00,CANELONES,CIUDAD DE LA COSTA,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,43,M,1,MOTO,CAMINO CARRASCO ESQ. MONTEVIDEO,586878.53317767,6142100.44546401
104,2018-04-03T08:00:00,PAYSANDU,PAYSANDU,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,71,M,5,BICICLETA,BOULEVARD GENERAL JOSE G. ARTIGAS ESQ. INDUSTRIAS,399390.3122,6425235.502
105,2018-04-03T11:05:00,CANELONES,ATLANTIDA,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,73,M,6,OMNIBUS,GENERAL JOSE G. ARTIGAS ESQ. 26,613223.209,6151733.1809
106,2018-06-03T19:08:00,CANELONES,CITY GOLF,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,63,M,0,CAMIONETA,"RUTA INTERBALNEARIA KM 44,800",612428.65,6152053.6
107,2018-07-03T12:20:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,72,F,0,AUTO,CAMINO MALDONADO ESQ. FLORENCIA,581107.4951,6144909.9705
108,2018-08-03T05:59:00,SALTO,N/C,DEPARTAMENTAL,DESPISTE,CAMIONETA,PASAJERO,65,M,1,"","3 BOCAS (CANO DE ACCESO A PASO VALEGAS, LA MODERNA Y EL TATÚ)",560257.69243599,6550191.4199793
109,2018-08-03T16:00:00,CERRO LARGO,RIO BRANCO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,18,M,1,AUTO,CENTENARIO ESQ. DIONISIO CORONEL,839797.5001,6389168.6413
110,2018-08-03T17:40:00,TACUAREMBO,PASO DE LOS TOROS,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,77,M,5,MOTO,BOULEVARD JOSE GERVASIO ARTIGAS ESQ. EMILIA GRASSI,546488.6463,6369002.3477
111,2018-08-03T21:00:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,71,F,0,CAMIONETA,AVENIDA ITALIA ESQ. SANTANDER,579842.6213,6139166.8006
112,2018-08-03T19:45:00,COLONIA,N/C,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,49,M,0,"","RUTA 106 KM. 27,000",437790.24924256,6233481.10621767
113,2018-09-03T03:00:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,CAÍDA,CAMION,PASAJERO,37,M,6,"",RAMBLA REPUBLICA DEL PERU ESQ. AVENIDA BRASIL,577763.8412,6136070.5862
114,2018-10-03T21:37:00,CANELONES,N/C,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,8,M,0,AUTO,"RUTA 64 KM 1,500",570321.03,6181858.91
115,2018-11-03T16:50:00,MONTEVIDEO,MONTEVIDEO,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,24,M,0,CARRO,RUTA OCHO ESQ. CAMINO GENERAL LEANDRO GOMEZ,582694.8999,6147306.8804
116,2018-11-03T15:30:00,COLONIA,NUEVA PALMIRA,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,21,M,1,MOTO,BRAVO ESQ. RIO NEGRO,370376.0515,6250960.5835
